id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE	NXT_DATE	dvar
20022	PVNHNXPRVND	PVN ALLSHARE HNX 	VND	1000	P	PVNHNXPRVND	8000000000000.000000	8168944913000.000000	1021.118114	2012/09/13	0:00:00	15	1	0		71809560000.000000	0	  	  	Benchmark	1.000000	1031.442		-1.000918
20023	PVNHNXPRUSD	PVN ALLSHARE HNX (USD)	USD	1000	P	PVNHNXPRVND	380952380.952381	373181585.792599	979.601663	2012/09/13	0:00:00	15	1	0		3280473.275468	0	  	  	Benchmark	21890.000000	979.6017		-0.000004
20024	PVNHNXPRJPY	PVN ALLSHARE HNX (JPY)	JPY	1000	P	PVNHNXPRVND	30188679245.283000	28967889762.411300	959.561348	2012/09/13	0:00:00	15	1	0		254643829.787234	0	  	  	Benchmark	282.000000	911.1447		5.313826
20025	PVNHNXPREUR	PVN ALLSHARE HNX (EUR)	EUR	1000	P	PVNHNXPRVND	275862068.965517	274027459.722489	993.349541	2012/09/13	0:00:00	15	1	0		2408853.471306	0	  	  	Benchmark	29810.680000	972.7445		2.118238
20026	PVNHNXTRVND	PVN ALLSHARE HNX TR 	VND	1000	R	PVNHNXPRVND	8000000000000.000000	8168944913000.000000	1118.021273	2012/09/13	0:00:00	15	1	0		71809560000.000000	0	  	  	Benchmark	1.000000	1119.484		-0.130661
20027	PVNHNXTRUSD	PVN ALLSHARE HNX TR (USD)	USD	1000	R	PVNHNXPRVND	380952380952.381000	373181585.792599	1010.071841	2012/09/13	0:00:00	15	1	0		3280473.275468	0	  	  	Benchmark	21890.000000	1010.063		0.000875
20028	PVNHNXTRJPY	PVN ALLSHARE HNX TR (JPY)	JPY	1000	R	PVNHNXPRVND	30188679245.283000	28967889762.411300	1058.859856	2012/09/13	0:00:00	15	1	0		254643829.787234	0	  	  	Benchmark	282.000000	996.6716		6.239593
20029	PVNHNXTREUR	PVN ALLSHARE HNX TR (EUR)	EUR	1000	R	PVNHNXPRVND	275862068965.517000	274027459.722489	1149.869635	2012/09/13	0:00:00	15	1	0		2408853.471306	0	  	  	Benchmark	29810.680000	1126.008		2.119135
20030	PVNBMPRVND	PVN BASIC MATERIALS 	VND	1000	P	PVNBMPRVND	10000000000000.000000	12336492840000.000000	1233.649284	2012/09/13	0:00:00	1	1	0		440589030000.000000	0	  	  	Sectors	1.000000	1558.712		-20.854572
20031	PVNBMPRUSD	PVN BASIC MATERIALS (USD)	USD	1000	P	PVNBMPRVND	476190476.190476	563567512.105984	1183.491775	2012/09/13	0:00:00	1	1	0		20127411.146642	0	  	  	Sectors	21890.000000	1362.596		-13.144338
20032	PVNBMPRJPY	PVN BASIC MATERIALS (JPY)	JPY	1000	P	PVNBMPRVND	37735849056.603800	43746428510.638300	1159.280356	2012/09/13	0:00:00	1	1	0		1562372446.808510	0	  	  	Sectors	282.000000	1421.253		-18.432513
20033	PVNBMPREUR	PVN BASIC MATERIALS (EUR)	EUR	1000	P	PVNBMPRVND	344827586.206897	413827958.302192	1200.101079	2012/09/13	0:00:00	1	1	0		14779569.939364	0	  	  	Sectors	29810.680000	1523.53		-21.228917
20034	PVNCSPRVND	PVN CONSUMER SERVICES 	VND	1000	P	PVNCSPRVND	10000000000000.000000	788158560000.000000	78.815856	2012/09/13	0:00:00	1	1	0		105556950000.000000	0	  	  	Sectors	1.000000	80.58443		-2.194685
20035	PVNCSPRUSD	PVN CONSUMER SERVICES (USD)	USD	1000	P	PVNCSPRVND	476190476.190476	36005416.171768	75.611374	2012/09/13	0:00:00	1	1	0		4822153.951576	0	  	  	Sectors	21890.000000	75.61137		0.000005
20036	PVNCSPRJPY	PVN CONSUMER SERVICES (JPY)	JPY	1000	P	PVNCSPRVND	37735849056.603800	2794888510.638300	74.064546	2012/09/13	0:00:00	1	1	0		374315425.531915	0	  	  	Sectors	282.000000	75.57809		-2.002623
20037	PVNCSPREUR	PVN CONSUMER SERVICES (EUR)	EUR	1000	P	PVNCSPRVND	344827586.206897	26438798.444048	76.672515	2012/09/13	0:00:00	1	1	0		3540910.505899	0	  	  	Sectors	29810.680000	80.0805		-4.255698
20038	PVNFIPRVND	PVN FINANCIALS 	VND	1000	P	PVNFIPRVND	10000000000000.000000	10683771510000.000000	1068.377151	2012/09/13	0:00:00	5	1	0		50000000000.000000	0	  	  	Sectors	1.000000	1090.766		-2.052580
20039	PVNFIPRUSD	PVN FINANCIALS (USD)	USD	1000	P	PVNFIPRVND	476190476.190476	488066309.273641	1024.939249	2012/09/13	0:00:00	5	1	0		2284148.012791	0	  	  	Sectors	21890.000000	992.3158		3.287608
20040	PVNFIPRJPY	PVN FINANCIALS (JPY)	JPY	1000	P	PVNFIPRVND	37735849056.603800	37885714574.468100	1003.971436	2012/09/13	0:00:00	5	1	0		177304964.539007	0	  	  	Sectors	282.000000	983.5947		2.071660
20041	PVNFIPREUR	PVN FINANCIALS (EUR)	EUR	1000	P	PVNFIPRVND	344827586.206897	358387380.294579	1039.323403	2012/09/13	0:00:00	5	1	0		1677251.240160	0	  	  	Sectors	29810.680000	1072.052		-3.052893
20042	PVNINPRVND	PVN INDUSTRIALS 	VND	1000	P	PVNINPRVND	10000000000000.000000	12555633734400.000000	1255.563373	2012/09/13	0:00:00	15	1	0		461428473000.000000	0	  	  	Sectors	1.000000	1216.447		3.215625
20043	PVNINPRUSD	PVN INDUSTRIALS (USD)	USD	1000	P	PVNINPRVND	476190476.190476	573578516.875286	1204.514885	2012/09/13	0:00:00	15	1	0		21079418.592965	0	  	  	Sectors	21890.000000	1204.515		-0.000010
20044	PVNINPRJPY	PVN INDUSTRIALS (JPY)	JPY	1000	P	PVNINPRVND	37735849056.603800	44523523880.851100	1179.873383	2012/09/13	0:00:00	15	1	0		1636271180.851060	0	  	  	Sectors	282.000000	1143.17		3.210667
20045	PVNINPREUR	PVN INDUSTRIALS (EUR)	EUR	1000	P	PVNINPRVND	344827586.206897	421179045.040234	1221.419231	2012/09/13	0:00:00	15	1	0		15478629.571684	0	  	  	Sectors	29810.680000	1221.419		0.000019
20046	PVNOGPRVND	PVN OIL & GAS 	VND	1000	P	PVNOGPRVND	10000000000000.000000	13957715385000.000000	1395.771539	2012/09/13	0:00:00	5	1	0		700764606800.000000	0	  	  	Sectors	1.000000	1469.969		-5.047553
20047	PVNOGPRUSD	PVN OIL & GAS (USD)	USD	1000	P	PVNOGPRVND	476190476.190476	637629757.195066	1339.022490	2012/09/13	0:00:00	5	1	0		32013001.681133	0	  	  	Sectors	21890.000000	1368.028		-2.120242
20048	PVNOGPRJPY	PVN OIL & GAS (JPY)	JPY	1000	P	PVNOGPRVND	37735849056.603800	49495444627.659600	1311.629283	2012/09/13	0:00:00	5	1	0		2484980875.177300	0	  	  	Sectors	282.000000	1285.165		2.059213
20049	PVNOGPREUR	PVN OIL & GAS (EUR)	EUR	1000	P	PVNOGPRVND	344827586.206897	468211908.785710	1357.814535	2012/09/13	0:00:00	5	1	0		23507166.116305	0	  	  	Sectors	29810.680000	1420.125		-4.387675
20050	PVNUTPRVND	PVN UTILITIES 	VND	1000	P	PVNUTPRVND	10000000000000.000000	2957227000000.000000	295.722700	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	1.000000	295.7227		0.000000
20051	PVNUTPRUSD	PVN UTILITIES (USD)	USD	1000	P	PVNUTPRVND	476190476.190476	135094883.508451	283.699255	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	21890.000000	275.3085		3.047765
20052	PVNUTPRJPY	PVN UTILITIES (JPY)	JPY	1000	P	PVNUTPRVND	37735849056.603800	10486620567.375900	277.895445	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	282.000000	283.6662		-2.034347
20053	PVNUTPREUR	PVN UTILITIES TR (EUR)	EUR	1000	P	PVNUTPRVND	344827586.206897	99200253.063667	287.680734	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	29810.680000	304.0792		-5.392827
20054	PVNBMTRVND	PVN BASIC MATERIALS TR 	VND	1000	R	PVNBMPRVND	10000000000000.000000	12336492840000.000000	1310.069933	2012/09/13	0:00:00	1	1	0		440589030000.000000	0	  	  	Sectors	1.000000	1598.191		-18.027950
20055	PVNBMTRUSD	PVN BASIC MATERIALS TR (USD)	USD	1000	R	PVNBMPRVND	476190476190.476000	563567512.105984	1178.408507	2012/09/13	0:00:00	1	1	0		20127411.146642	0	  	  	Sectors	21890.000000	1356.695		-13.141236
20056	PVNBMTRJPY	PVN BASIC MATERIALS TR (JPY)	JPY	1000	R	PVNBMPRVND	37735849056.603800	43746428510.638300	1408.302776	2012/09/13	0:00:00	1	1	0		1562372446.808510	0	  	  	Sectors	282.000000	1667.013		-15.519388
20057	PVNBMTREUR	PVN BASIC MATERIALS TR (EUR)	EUR	1000	R	PVNBMPRVND	344827586206.897000	413827958.302192	1130.243923	2012/09/13	0:00:00	1	1	0		14779569.939364	0	  	  	Sectors	29810.680000	1434.795		-21.226104
20058	PVNCSTRVND	PVN CONSUMER SERVICES TR 	VND	1000	R	PVNCSPRVND	10000000000000.000000	788158560000.000000	115.685213	2012/09/13	0:00:00	1	1	0		105556950000.000000	0	  	  	Sectors	1.000000	104.3109		10.904242
20059	PVNCSTRUSD	PVN CONSUMER SERVICES TR (USD)	USD	1000	R	PVNCSPRVND	476190476190.476000	36005416.171768	69.269660	2012/09/13	0:00:00	1	1	0		4822153.951576	0	  	  	Sectors	21890.000000	69.26038		0.013398
20060	PVNCSTRJPY	PVN CONSUMER SERVICES TR (JPY)	JPY	1000	R	PVNCSPRVND	37735849056.603800	2794888510.638300	103.212782	2012/09/13	0:00:00	1	1	0		374315425.531915	0	  	  	Sectors	282.000000	92.88238		11.122025
20061	PVNCSTREUR	PVN CONSUMER SERVICES TR (EUR)	EUR	1000	R	PVNCSPRVND	344827586206.897000	26438798.444048	78.735702	2012/09/13	0:00:00	1	1	0		3540910.505899	0	  	  	Sectors	29810.680000	82.22438		-4.242875
20062	PVNFITRVND	PVN FINANCIALS TR 	VND	1000	R	PVNFIPRVND	10000000000000.000000	10683771510000.000000	927.580082	2012/09/13	0:00:00	5	1	0		50000000000.000000	0	  	  	Sectors	1.000000	942.607		-1.594187
20063	PVNFITRUSD	PVN FINANCIALS TR (USD)	USD	1000	R	PVNFIPRVND	476190476190.476000	488066309.273641	964.580110	2012/09/13	0:00:00	5	1	0		2284148.012791	0	  	  	Sectors	21890.000000	933.8735		3.288091
20064	PVNFITRJPY	PVN FINANCIALS TR (JPY)	JPY	1000	R	PVNFIPRVND	37735849056.603800	37885714574.468100	1052.719375	2012/09/13	0:00:00	5	1	0		177304964.539007	0	  	  	Sectors	282.000000	1026.549		2.549355
20065	PVNFITREUR	PVN FINANCIALS TR (EUR)	EUR	1000	R	PVNFIPRVND	344827586206.897000	358387380.294579	987.535971	2012/09/13	0:00:00	5	1	0		1677251.240160	0	  	  	Sectors	29810.680000	1018.629		-3.052439
20066	PVNINTRVND	PVN INDUSTRIALS TR 	VND	1000	R	PVNINPRVND	10000000000000.000000	12555633734400.000000	1457.781872	2012/09/13	0:00:00	15	1	0		461428473000.000000	0	  	  	Sectors	1.000000	1362.3		7.008873
20067	PVNINTRUSD	PVN INDUSTRIALS TR (USD)	USD	1000	R	PVNINPRVND	476190476190.476000	573578516.875286	1131.793485	2012/09/13	0:00:00	15	1	0		21079418.592965	0	  	  	Sectors	21890.000000	1131.752		0.003666
20068	PVNINTRJPY	PVN INDUSTRIALS TR (JPY)	JPY	1000	R	PVNINPRVND	37735849056.603800	44523523880.851100	1403.158135	2012/09/13	0:00:00	15	1	0		1636271180.851060	0	  	  	Sectors	282.000000	1311.317		7.003733
20069	PVNINTREUR	PVN INDUSTRIALS TR (EUR)	EUR	1000	R	PVNINPRVND	344827586206.897000	421179045.040234	1111.789067	2012/09/13	0:00:00	15	1	0		15478629.571684	0	  	  	Sectors	29810.680000	1111.748		0.003694
20070	PVNOGTRVND	PVN OIL & GAS TR 	VND	1000	R	PVNOGPRVND	10000000000000.000000	13957715385000.000000	1627.273178	2012/09/13	0:00:00	5	1	0		700764606800.000000	0	  	  	Sectors	1.000000	1631.848		-0.280346
20071	PVNOGTRUSD	PVN OIL & GAS TR (USD)	USD	1000	R	PVNOGPRVND	476190476190.476000	637629757.195066	1416.451889	2012/09/13	0:00:00	5	1	0		32013001.681133	0	  	  	Sectors	21890.000000	1447.062		-2.115328
20072	PVNOGTRJPY	PVN OIL & GAS TR (JPY)	JPY	1000	R	PVNOGPRVND	37735849056.603800	49495444627.659600	1726.787114	2012/09/13	0:00:00	5	1	0		2484980875.177300	0	  	  	Sectors	282.000000	1611.061		7.183224
20073	PVNOGTREUR	PVN OIL & GAS TR (EUR)	EUR	1000	R	PVNOGPRVND	344827586206.897000	468211908.785710	1407.667675	2012/09/13	0:00:00	5	1	0		23507166.116305	0	  	  	Sectors	29810.680000	1472.192		-4.382874
20074	PVNUTTRVND	PVN UTILITIES TR 	VND	1000	R	PVNUTPRVND	10000000000000.000000	2957227000000.000000	293.877700	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	1.000000	293.8777		0.000000
20075	PVNUTTRUSD	PVN UTILITIES TR (USD)	USD	1000	R	PVNUTPRVND	476190476190.476000	135094883.508451	318.256014	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	21890.000000	308.8432		3.047765
20076	PVNUTTRJPY	PVN UTILITIES TR (JPY)	JPY	1000	R	PVNUTPRVND	37735849056.603800	10486620567.375900	244.275690	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	282.000000	249.3483		-2.034347
20077	PVNUTTREUR	PVN UTILITIES (EUR)	EUR	1000	R	PVNUTPRVND	344827586206.897000	99200253.063667	274.751434	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	29810.680000	290.4129		-5.392827
