id	IDX_CODE	IDX_NAME	IDX_CURR	IDX_BASE	IDX_TYPE	IDX_MOTHER	IDX_DIVISOR	IDX_MCAP	IDX_LAST	DATES	TIMES	RECORDS	CALCULS	PUBLICATIONS	IDX_PLAST	IDX_DCAP	TO_ADJUST	IDX_MCAP_NXT	IDX_DIVISOR_NXT	IDX_BBS	IDX_CONV	IDX_PCLOSE	NXT_DATE	dvar
20041	PVNFIPREUR	PVN FINANCIALS (EUR)	EUR	1000	P	PVNFIPRVND	344827586.206897	358387380.294579	1039.323403	2012/09/13	0:00:00	5	1	0		1677251.240160	0	  	  	Sectors	29810.680000	1072.052		-3.052893
20042	PVNINPRVND	PVN INDUSTRIALS 	VND	1000	P	PVNINPRVND	10000000000000.000000	12555633734400.000000	1255.563373	2012/09/13	0:00:00	15	1	0		461428473000.000000	0	  	  	Sectors	1.000000	1216.447		3.215625
20043	PVNINPRUSD	PVN INDUSTRIALS (USD)	USD	1000	P	PVNINPRVND	476190476.190476	573578516.875286	1204.514885	2012/09/13	0:00:00	15	1	0		21079418.592965	0	  	  	Sectors	21890.000000	1204.515		-0.000010
20044	PVNINPRJPY	PVN INDUSTRIALS (JPY)	JPY	1000	P	PVNINPRVND	37735849056.603800	44523523880.851100	1179.873383	2012/09/13	0:00:00	15	1	0		1636271180.851060	0	  	  	Sectors	282.000000	1143.17		3.210667
20045	PVNINPREUR	PVN INDUSTRIALS (EUR)	EUR	1000	P	PVNINPRVND	344827586.206897	421179045.040234	1221.419231	2012/09/13	0:00:00	15	1	0		15478629.571684	0	  	  	Sectors	29810.680000	1221.419		0.000019
20046	PVNOGPRVND	PVN OIL & GAS 	VND	1000	P	PVNOGPRVND	10000000000000.000000	13957715385000.000000	1395.771539	2012/09/13	0:00:00	5	1	0		700764606800.000000	0	  	  	Sectors	1.000000	1469.969		-5.047553
20047	PVNOGPRUSD	PVN OIL & GAS (USD)	USD	1000	P	PVNOGPRVND	476190476.190476	637629757.195066	1339.022490	2012/09/13	0:00:00	5	1	0		32013001.681133	0	  	  	Sectors	21890.000000	1368.028		-2.120242
20048	PVNOGPRJPY	PVN OIL & GAS (JPY)	JPY	1000	P	PVNOGPRVND	37735849056.603800	49495444627.659600	1311.629283	2012/09/13	0:00:00	5	1	0		2484980875.177300	0	  	  	Sectors	282.000000	1285.165		2.059213
20049	PVNOGPREUR	PVN OIL & GAS (EUR)	EUR	1000	P	PVNOGPRVND	344827586.206897	468211908.785710	1357.814535	2012/09/13	0:00:00	5	1	0		23507166.116305	0	  	  	Sectors	29810.680000	1420.125		-4.387675
20050	PVNUTPRVND	PVN UTILITIES 	VND	1000	P	PVNUTPRVND	10000000000000.000000	2957227000000.000000	295.722700	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	1.000000	295.7227		0.000000
20051	PVNUTPRUSD	PVN UTILITIES (USD)	USD	1000	P	PVNUTPRVND	476190476.190476	135094883.508451	283.699255	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	21890.000000	275.3085		3.047765
20052	PVNUTPRJPY	PVN UTILITIES (JPY)	JPY	1000	P	PVNUTPRVND	37735849056.603800	10486620567.375900	277.895445	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	282.000000	283.6662		-2.034347
20053	PVNUTPREUR	PVN UTILITIES TR (EUR)	EUR	1000	P	PVNUTPRVND	344827586.206897	99200253.063667	287.680734	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	29810.680000	304.0792		-5.392827
20054	PVNBMTRVND	PVN BASIC MATERIALS TR 	VND	1000	R	PVNBMPRVND	10000000000000.000000	14803791408000.000000	1572.083919	2012/09/13	0:00:00	1	1	0		528706836000.000000	0	  	  	Sectors	1.000000	1598.191		-1.633539
20055	PVNBMTRUSD	PVN BASIC MATERIALS TR (USD)	USD	1000	R	PVNBMPRVND	476190476190.476000	676281014.527181	1414.090209	2012/09/13	0:00:00	1	1	0		24152893.375971	0	  	  	Sectors	21890.000000	1356.695		4.230517
20056	PVNBMTRJPY	PVN BASIC MATERIALS TR (JPY)	JPY	1000	R	PVNBMPRVND	37735849056.603800	52495714212.766000	1689.963331	2012/09/13	0:00:00	1	1	0		1874846936.170210	0	  	  	Sectors	282.000000	1667.013		1.376734
20057	PVNBMTREUR	PVN BASIC MATERIALS TR (EUR)	EUR	1000	R	PVNBMPRVND	344827586206.897000	496593549.962631	1356.292708	2012/09/13	0:00:00	1	1	0		17735483.927237	0	  	  	Sectors	29810.680000	1434.795		-5.471325
20058	PVNCSTRVND	PVN CONSUMER SERVICES TR 	VND	1000	R	PVNCSPRVND	10000000000000.000000	893715510000.000000	129.348820	2012/09/13	0:00:00	1	1	0		105556950000.000000	0	  	  	Sectors	1.000000	104.3109		24.003168
20059	PVNCSTRUSD	PVN CONSUMER SERVICES TR (USD)	USD	1000	R	PVNCSPRVND	476190476190.476000	40827570.123344	78.545604	2012/09/13	0:00:00	1	1	0		4822153.951576	0	  	  	Sectors	21890.000000	69.26038		13.406256
20060	PVNCSTRJPY	PVN CONSUMER SERVICES TR (JPY)	JPY	1000	R	PVNCSPRVND	37735849056.603800	3169203936.170210	115.403268	2012/09/13	0:00:00	1	1	0		374315425.531915	0	  	  	Sectors	282.000000	92.88238		24.246674
20061	PVNCSTREUR	PVN CONSUMER SERVICES TR (EUR)	EUR	1000	R	PVNCSPRVND	344827586206.897000	29979708.949947	89.279250	2012/09/13	0:00:00	1	1	0		3540910.505899	0	  	  	Sectors	29810.680000	82.22438		8.580022
20062	PVNFITRVND	PVN FINANCIALS TR 	VND	1000	R	PVNFIPRVND	10000000000000.000000	10683771510000.000000	927.580082	2012/09/13	0:00:00	5	1	0		50000000000.000000	0	  	  	Sectors	1.000000	942.607		-1.594187
20063	PVNFITRUSD	PVN FINANCIALS TR (USD)	USD	1000	R	PVNFIPRVND	476190476190.476000	488066309.273641	964.580110	2012/09/13	0:00:00	5	1	0		2284148.012791	0	  	  	Sectors	21890.000000	933.8735		3.288091
20064	PVNFITRJPY	PVN FINANCIALS TR (JPY)	JPY	1000	R	PVNFIPRVND	37735849056.603800	37885714574.468100	1052.719375	2012/09/13	0:00:00	5	1	0		177304964.539007	0	  	  	Sectors	282.000000	1026.549		2.549355
20065	PVNFITREUR	PVN FINANCIALS TR (EUR)	EUR	1000	R	PVNFIPRVND	344827586206.897000	358387380.294579	987.535971	2012/09/13	0:00:00	5	1	0		1677251.240160	0	  	  	Sectors	29810.680000	1018.629		-3.052439
20066	PVNINTRVND	PVN INDUSTRIALS TR 	VND	1000	R	PVNINPRVND	10000000000000.000000	12555633734400.000000	1457.781872	2012/09/13	0:00:00	15	1	0		461428473000.000000	0	  	  	Sectors	1.000000	1362.3		7.008873
20067	PVNINTRUSD	PVN INDUSTRIALS TR (USD)	USD	1000	R	PVNINPRVND	476190476190.476000	573578516.875286	1131.793485	2012/09/13	0:00:00	15	1	0		21079418.592965	0	  	  	Sectors	21890.000000	1131.752		0.003666
20068	PVNINTRJPY	PVN INDUSTRIALS TR (JPY)	JPY	1000	R	PVNINPRVND	37735849056.603800	44523523880.851100	1403.158135	2012/09/13	0:00:00	15	1	0		1636271180.851060	0	  	  	Sectors	282.000000	1311.317		7.003733
20069	PVNINTREUR	PVN INDUSTRIALS TR (EUR)	EUR	1000	R	PVNINPRVND	344827586206.897000	421179045.040234	1111.789067	2012/09/13	0:00:00	15	1	0		15478629.571684	0	  	  	Sectors	29810.680000	1111.748		0.003694
20070	PVNOGTRVND	PVN OIL & GAS TR 	VND	1000	R	PVNOGPRVND	10000000000000.000000	13957715385000.000000	1627.273178	2012/09/13	0:00:00	5	1	0		700764606800.000000	0	  	  	Sectors	1.000000	1631.848		-0.280346
20071	PVNOGTRUSD	PVN OIL & GAS TR (USD)	USD	1000	R	PVNOGPRVND	476190476190.476000	637629757.195066	1416.451889	2012/09/13	0:00:00	5	1	0		32013001.681133	0	  	  	Sectors	21890.000000	1447.062		-2.115328
20072	PVNOGTRJPY	PVN OIL & GAS TR (JPY)	JPY	1000	R	PVNOGPRVND	37735849056.603800	49495444627.659600	1726.787114	2012/09/13	0:00:00	5	1	0		2484980875.177300	0	  	  	Sectors	282.000000	1611.061		7.183224
20073	PVNOGTREUR	PVN OIL & GAS TR (EUR)	EUR	1000	R	PVNOGPRVND	344827586206.897000	468211908.785710	1407.667675	2012/09/13	0:00:00	5	1	0		23507166.116305	0	  	  	Sectors	29810.680000	1472.192		-4.382874
20074	PVNUTTRVND	PVN UTILITIES TR 	VND	1000	R	PVNUTPRVND	10000000000000.000000	2957227000000.000000	293.877700	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	1.000000	293.8777		0.000000
20075	PVNUTTRUSD	PVN UTILITIES TR (USD)	USD	1000	R	PVNUTPRVND	476190476190.476000	135094883.508451	318.256014	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	21890.000000	308.8432		3.047765
20076	PVNUTTRJPY	PVN UTILITIES TR (JPY)	JPY	1000	R	PVNUTPRVND	37735849056.603800	10486620567.375900	244.275690	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	282.000000	249.3483		-2.034347
20077	PVNUTTREUR	PVN UTILITIES (EUR)	EUR	1000	R	PVNUTPRVND	344827586206.897000	99200253.063667	274.751434	2012/09/13	0:00:00	3	1	0		0.000000	0	  	  	Sectors	29810.680000	290.4129		-5.392827
